text,commenter_channel_display_name,comment_publish_date,video_id,platform,label
Filter name please,ABHA RAHAMAN,1647559075.0,2n-GS8LUddU,Youtube,0
I have both and I completely relate,Mary’s garden,1688283712.0,b6WKN64k_mc,Youtube,0
"""Ah yes Ritalin... cocaine for children!!"" Dr. Greg House",Hendeesh,1672827275.0,kYZtrLHUNLM,Youtube,0
Happy Birthday Julian! 🎉🎉❤❤,Julia Jennings,1690091446.0,l2KuxKGImMw,Youtube,0
Why doesn’t anyone pick ADHD I’m gonna be honest I think some people r making ADHD a trend,MARLIY,1672085377.0,GqgRCPs1bdo,Youtube,0
"I work with individuals with autism, and you do whatever makes their day easier.",nadiyah shaheed,1674209719.0,-gCSzvsCWCU,Youtube,0
i just always thought i was  extremely clumsy all the time. always have at least one bruise or cut.,wednesday adams,1689854525.0,4e9-6N3ffFA,Youtube,0
So what you’re saying is…we should feed our children more sugar?,Saudidara,1670034912.0,kYZtrLHUNLM,Youtube,0
Why she liking thr,Emma Wilson,1687464743.0,gmzX3R_fhrI,Youtube,0
666😂,leo li,1679754863.0,qt2Bpryqnv0,Youtube,0
Why does no one show the other end of ocd. The more common type. Where you have to have things even neat and how you need it to function.,taya Bishop,1671720850.0,GqgRCPs1bdo,Youtube,0
I have ocd and adhd....,unforgexible_personz,1690140521.0,QZYfVcw9gmU,Youtube,0
They are lazy tho 😂,ruru105,1684594988.0,PGu2-QOfLBA,Youtube,0
Man I always obsess about what I say.. and the feeling like I’m constant being watched and judged every second .,Howard jr 1945,1649826371.0,2n-GS8LUddU,Youtube,0
Quit vape = 80% better results,@Fer_Guy,1688927765.0,2uE8YsXdloA,Youtube,-1
"Christians ask a demon called Jesus to come into their heart and possess their body. The pentagram represents JESUS and not Satan. Jesus's deciples used the pentagram as a secret symbol when they illegally whorshipped Jesus in secret. So all of the satanist in movies with black cloaks, and pentagram pendents on neckless, and a pentagram on the floor chanting are Jesus's deciples. So guess what you invited into your body? Jesus practiced witchcraft turning water into wine, and walking on water. Jesus was a Warlock.",Joe Smartballs,1693522752.0,Szew595ukwY,Youtube,-1
This happens and I’m very little it just like- idk..,Urlocallozor,1680940678.0,GqgRCPs1bdo,Youtube,0
"May Allah bless him, he is a Muslim lion !
I advise you to listen to him, you will benefit a lot In sha Allah",Mohammed Gamer,1666310614.0,dw5BbcUSV4c,Youtube,-1
50% relatable as a autistic person.,🐉𝙴𝚢𝚊𝚍-𝙽𝚊𝚍𝚢💦,1692506282.0,o7l9oVurnms,Youtube,0
"@Eren Jaeger it really erks me when people say that, just because someone is 14 and perhaps being ""cringe"" doesn't mean you should make fun of them. Everyone's feelings are legitimate and just because you feel like their just jumping on a trend doesn't mean you should insult them. I mean like why is being called 14 an insult these days? Why is being young a bad thing? Even if there are people out there fake it, is it really worth bothering the people who really are? So what if a 14 year old thinks somethings deep, why can't you just let them, it's not hurting you. I'm really really sorry for rambling and ranting but this is something that has really bothered me for a while. Sorry to bother you, have a good day.

Edit: typos",Mad Catter,1658871004.0,MXAUwEVIL7E,Youtube,0
Which is why they medicate people with ADHD with methylphenidate...an amphetamine derivative,Danlows1,1670017394.0,kYZtrLHUNLM,Youtube,0
Good you turned to God 🙏🏼,@M3RXYY,1692254194.0,2uE8YsXdloA,Youtube,-1
You forgot barely grazing the object you're trying to avoid and violently hip checking the other object you forgot was there right next to it,kuronekochanII,1689532212.0,4e9-6N3ffFA,Youtube,0
​@Shield Bit is being wrong!!!,Cara Metz,1690654135.0,PGu2-QOfLBA,Youtube,0
Imagine if it was reversed and a man was such high maintenance. Wouldn’t fly.,Cam Lee-Brown,1673967204.0,erbXyUpLVus,Youtube,0
"It’s ok you make it through this you can do it it looks very difficult to deal with this. Bless your heart , keep pushing through and don’t give up! ❤❤",Poppy,1674235751.0,Tyq492QJOkw,Youtube,0
"It's one reason I don't think I'll ever be able to ask a gal on a date again.  😔  And my lifelong depression has just gotten worse this year by realizing it, and how far behind I am in everything it seems.

I've never even been kissed let alone had a girlfriend.  I don't believe I'm smart enough to get a good enough job.  I can't see myself even having fun anymore.  😣  I don't want to exist.",BoMwarriorVlog,1694583143.0,RC1919tTab0,Youtube,0
Its about what type of weed u smoke if u smoke indica too much or overdose u might get paranoid,Gelashhaa,1673071472.0,wqBAohnacCk,Youtube,0
"I'm sorry your mother was so horrible to you.

...What?  You DO realize your mother's a woman, right?",Unimpartial Observer,1696510844.0,RC1919tTab0,Youtube,0
I like your tattos,Alivia Holthus,1658600709.0,MXAUwEVIL7E,Youtube,0
"@Endtherinbetween ☻ 😈 sometimes it's hard and I'd LOVE a cure but you're so right. It's just a different way of seeing the world, it comes with its struggles but is worth it in the end",Jayde,1666435416.0,-gCSzvsCWCU,Youtube,0
"🌷🌸🌷🌸
    🌸🌷🌸🌷🌸
 Λ🌷🌸🌷🌸🌷
( ˘ ᵕ ˘🌷🌸🌷
ヽ  つ＼     ／
   UU   / 🎀 \  this is for you because you love us and we love you for you ❤",urlocalrat,1689664081.0,a54ae-6r2wo,Youtube,0
"Depends on your own lifestyle. Dogs are pack animals but they do adapt to humans. Dogs require exercise, play interactions with other dogs if possible and they also need to be loved. You become their ‘pack’ and their leader. It is very cruel to get a dog/puppy and leave it alone all day while you work. Indeed it’s the same for cats and even birds. It’s like putting them into solitary confinement. The get depressed and often destructive. 
Do some research on dog groups like Herding, Working, terrier group is. Each has distinct characteristics bred into them that they cannot change. Border Collies are high energy herding dogs they will herd you, other dogs,cats, Frisbees. German Shepard are high energy working dogs who NEED a job a purpose each day. Consider size and age, maybe get an adult rescue dog. Finally also consider seeking info from a dog kennel or dog daycare trainer. You’re making a decision to love and care for that animal for its entire life. Good luck.",Gail Fagan,1695937445.0,RC1919tTab0,Youtube,0
All of your videos talking about autistic people describe me so much (I have ADHD),gosth_boy,1681797614.0,fz6dbtnwEi0,Youtube,0
I can relate,CHEESECAJE21,1689946707.0,GqgRCPs1bdo,Youtube,0
@Jdot lol right😭,Gh👻stF@c£,1687629422.0,gmzX3R_fhrI,Youtube,0
@Unimpartial ObserverDitto!,Mary ASDoss,1696568237.0,RC1919tTab0,Youtube,0
Bro really tried to sneak that furry mask in there 💀,@ViperX..,1681544273.0,2uE8YsXdloA,Youtube,-1
"I have said that exact same thing before. Your statement it's about ""left vs right, good and evil. "" I have been telling people that since this crazy woke ideology began becoming a well known problem. It really is just that simple and people need to be fighting to end this.",Skittles,1664094061.0,kzSiaYXuDaU,Youtube,0
"I had ocd, and i still do.. its gotten better but i have to constantly touch everything that I see or something bad happens, everything has to be neat or else ill lose my mind, but i had to wash my hands 28 times a day, keep checking if i locked something or if i touched something and keep washing my hands, i have to bite my cheek to get rid of my anxiety because of it, i don’t turn on and off the lights because im extremely terrified of the dark. I don’t text my parents or friends when they are out i just worry a bit constantly. Its definitely gotten better i couldn’t leave the bathroom without checking if i washed my hands deeply enough, touched whatever my mind told me to i still have that problem, i don’t wake up at an odd or even number i just.. stay in bed until i have the courage to deal with my mind again, people that have ocd arent a neat freak, they worry. Everything has to be perfect according to their illness.",Marilynmonroe,1670843909.0,GqgRCPs1bdo,Youtube,0
"As smart as the scientists and doctors think they are, they’re still just shooting in the dark till they can find something that works.",hidel308,1669944363.0,kYZtrLHUNLM,Youtube,0
I'm definitely the first 3. I've not caught myself doing dinosaur hands but it seems like something i would do. ❤,Emma Bleakley,1697279368.0,4e9-6N3ffFA,Youtube,0
Ok all true but are we not gonna talk about how she is literally so stunning and slayed these outfits,Vent,1685467462.0,a54ae-6r2wo,Youtube,0
Interesting,Polish one 35,1672274547.0,kYZtrLHUNLM,Youtube,0
"A man, dressed as a woman, wants to be taken seriously.....",nonya bizzness,1677366997.0,BcKuX6TV1To,Youtube,0
You keep making me think I have undiagnosed ADHD or something man 😭😭😭,Cherri Kate,1661369543.0,jUF1K9rsh9o,Youtube,0
As someone with ocd and adhd one Time i saw a grafity Saying f*ck god and my head was like yes that person is right and i was like no it not right and it kept Saying the same thing i was fighting with my own mind😭 ( i got a 40/100 on math test last Time CUZ of my adhd😡✋🏼),♥︎𝕂𝕒𝕥𝕒𝕝𝕚𝕒♥︎,1698539556.0,GqgRCPs1bdo,Youtube,0
lol,zackattackwojo,1674744007.0,iaBMUv5BJGA,Youtube,0
"Hey guys 
Autism, down syndrome and all those things can be prevented during pregnancy by good prenatal care and getting enlightened about them 
It can be prevented by good prenatal care 
You can check it out and know about it 
Jesus loves you",Angie kids,1689542768.0,-gCSzvsCWCU,Youtube,0
"@Emperor Palpatinecorrect and hoarders have oc and collector's anxiety so ariel has triple disorders, therefor hoarding disorders",Cockatoo Man,1691472458.0,QZYfVcw9gmU,Youtube,0
@Matthew Langley yea finger is the real safety,leathal bacon,1677161934.0,qt2Bpryqnv0,Youtube,0
"Then he is with the wrong woman. If you want to be around mean women, surprise surprise, they’ll treat you mean. Choose wisely.",Midnight Cowboy,1693412230.0,RC1919tTab0,Youtube,0
I just found out that I have ocd,yazi,1671830895.0,GqgRCPs1bdo,Youtube,0
Wait is not sleeping for weeks normal because last summer i didn't sleep all summer oh and I have social anxiety so I just not be social at school,_F-MC,1654257935.0,2n-GS8LUddU,Youtube,0
Can you do ADHD?,y0ur_ average_girl,1681005492.0,GqgRCPs1bdo,Youtube,0
@Random Guy What gives you this idiotic opinion,Jesus Christ loves you,1683649741.0,u1r43GNrtzA,Youtube,0
"If my kid start touching the props they would call security over us, stop thinking you can even thought you have autism",DatRusse,1694624918.0,jj0lzrVUXLo,Youtube,0
Thank God someone else realized it,Sharaya Fugate,1691882974.0,RC1919tTab0,Youtube,0
"Nah, but the writer was",Brun0Max123,1690904529.0,QZYfVcw9gmU,Youtube,0
She just needs a good spanking! Nothing else said Kids today are so spoiled autism are not! We are always trying to please what ever happened to discipline??? Scared to see what the these kids grow up to be,Tammy Duncan,1677546907.0,-gCSzvsCWCU,Youtube,0
Me on a daily basis 😂😂😂😂,@trinityoneal278,1667842394.0,e4-NNSFIZNs,Youtube,0
Can you make something about feeling guilty for nothing and saying sorry for nothing whatever that disorder is.,Sarah,1675499003.0,GqgRCPs1bdo,Youtube,0
"Her: Obsessive Cleaning Disorder
Me:...I'm sorry what??

Also OCD isn't just you have to have everything clean. Me myself I have it. There are so many other symptoms like unwanted seggsual thoughts and car crashing thoughts. Lining things up like facing the same way or it bugs you so freakin bad and your brain tells you, ""You have to do it or something may happen"" or it just doesn't feel right.",THM _3000,1686194137.0,_MS_j7Ecc6k,Youtube,0
Atleast she apologized. Some people don't even do that,dddavieditz,1694139483.0,PGu2-QOfLBA,Youtube,0
Can’t tell you how many “stunts” I pulled. 🙄,Abbie Watterson,1671156317.0,-gCSzvsCWCU,Youtube,0
You have only said what millions have said over the past several years???🥺,Sara Murillo-garcia,1695523971.0,bd4AyyVJfSg,Youtube,0
"I have anxiety and social anxiety, the only reason I get sleep is because I remind myself how I’ve not died yet and tonight is probably not the night I’m going to",DrunkCow,1687049351.0,b6WKN64k_mc,Youtube,0
"Women have learned playing victim always gets them rewards. 
There was a point where they played victim because they were victim and when that worked...it evolved into what we have today. 

Men paying child support.
Women choosing when to have abortions without the fathers consent.
Men paying alimony to a wife who cheated.
Men expecting to work, fix the house, pay dinner, be the ""man"" at all times.
Women get to tear up, they get emotional support groups, they get help, they get praised for overcoming any kind of trial. They get credit for being strong and independent for when they do something without help when men always do it without help.
Women cry r**e and the world breaks for them.
Men say they were harassed and everyone laughs and say he's lucky.
It's endless.

Men get no credit.

Valentines day = Her holiday.
Wedding = Her wedding.
Anniversary = Her Anniversary.
And so on.

Why are shared holidays always celebrating the woman and the man has to make the plan when they are both equally involved?

Look at Disney? Princesses are celebrated what are princes for? Being tall and handsome and loaded to help dig the princess out of financial ruin, misery and a dull mundane life. Disney pretty much brainwashed generations of young girls into saying a man is only good if he's tall, rich and has it all. He comes prepackaged 10/10 complete. She's allowed to be flawed, not perfect, filled with problems and he'll just tackle them all and bend over backwards for him.

Our society has abandoned men. They get nothing from no one no credit for anything. No help, no assistance, no back up.

A woman doesn't pay for her kids, she gets government assistance and help.

A man doesn't pay for his kids, he goes straight to jail for being a bum, a scumbag, a useless tool, a good for nothing father.

Men work longer hours, harder jobs, for more years and women turn around and complain they don't get paid the same because they aren't as experienced and when asked to lift a couch they make the man do it anyways. 

Not saying all women are like this, but society has built them like this and it takes a lot of courage, guts, accountability, and skill for a woman to throw all of it aside and venture out and actually be her own person, share in a relationship with a man equally and so on. 

Sadly it's easy because the resources for being a victim are stacked any hard moment, just tear up and don't be responsible and 100 simps fill in the gap.",Wintercourse,1691128076.0,RC1919tTab0,Youtube,0
How long she gonna pose for 😂,SATELLITE,1692056925.0,RC1919tTab0,Youtube,0
I have social anxiety but i would love to talk to people without being nervous. I just can't :(,Zyveo,1648302667.0,2n-GS8LUddU,Youtube,0
Finally someone really understands it I have ocd and people think ocd is wanting to clean all the time and finally someone understands it,not_star...,1698415933.0,GqgRCPs1bdo,Youtube,0
"My dads like this. He always said it for ADHD and OCD, he blames us (my siblings) like, “Don’t be so OCD” and “Control your ADHD…” and it makes me so mad. Js because I’m cleaning doesn’t mean I have OCD?… 
But I support all ppl with any mental condition if they aren’t problematic (on purpose) and using their mental health for an excuse for something.",neo,1690443879.0,GqgRCPs1bdo,Youtube,0
Is this Suzanne Venker?,Thought Keeper,1692737852.0,RC1919tTab0,Youtube,0
I relate to Alice,Mutliplix,1691265590.0,QZYfVcw9gmU,Youtube,0
"Bro mine is so out of whack I get so freaked over my phone and computer screen, I hate tapping on the screen unevenly so I turn the screen off and tap on all the places I didn't tap before to make me feel better. I also clench my jaw, and the sensation has to be on both sides but I keep doing it bcuz it's never the perfect timing, and also I press my nails into my fingers, but I need to do it on all fingers or else idk I'm gonna die or something, it just makes me uncomfortable and icky icky",lwehni,1680753076.0,GqgRCPs1bdo,Youtube,0
❤❤❤❤  that's right,/DELVIN /S4,1692058669.0,l2KuxKGImMw,Youtube,0
😅😅😅😅😅 I have done all of these at least once!!!!,Yasmin,1688389414.0,4e9-6N3ffFA,Youtube,0
Bro said I’m going to call you back it’s my birthday lol he was smooth with it 😂,pghmoore,1689733093.0,l2KuxKGImMw,Youtube,0
Why is she making her mental illnesses or disorders her whole personality on YouTube ?,mochii,1674338642.0,Tyq492QJOkw,Youtube,0
Idk why but for some reason i have a suspension that i have ocd because lets say ill snap once and my brain is like do it again so im just snaping randomly and im really picky for  clothes and also my hair,neil_cherry🌺,1698523319.0,GqgRCPs1bdo,Youtube,0
Should have pulled out…,ATTOMIC_BELLS,1665475976.0,-gCSzvsCWCU,Youtube,0
I LOVE this Gaston!😊,Kathryn Grossman,1693450350.0,HzUXFPO3cJE,Youtube,0
If you are ever concerned about this sort of issue do seek a process opinion from your doctor. They may be able to find some support for you,Dr Julie,1645229334.0,OCRKI5WYk6k,Youtube,0
Sameeeee,Anna,1698438395.0,LaVUX5bHz9Y,Youtube,0
I can truly relate to this. I have been telling my dad I have it but he never believes me.,Demonslayer_edits,1691270069.0,_MS_j7Ecc6k,Youtube,0
Is it’s a good or bad thing that I do both,@LoveCat19,1684472644.0,jqffqAJRRLY,Youtube,0
"I love the patience n knowing why she was upset. I admit, i do not have this patience n woulda started yelling. You are such a sweet mommy ❤",Diary of a Mad Mixed Girl,1666317269.0,-gCSzvsCWCU,Youtube,0
I think— I think I just had a revelation.,Huxley,1648840715.0,2n-GS8LUddU,Youtube,0
Bruh... It's up to the students to be the cast. You wanna sing and dance you gotta start it. You got a small taste of it. Gonna keep going?,Rabbit the One,1670714688.0,vWVzT3cH5XU,Youtube,0
"I worry and overthink every little thing, where can I get such superpowers?",Tessa Jung,1677343430.0,nubEgLuWFTM,Youtube,0
She said curly 🎉,Lakeria Smith,1674264297.0,WDymiiSfS4s,Youtube,0
I'd touch the burner for 100 lol,DKkurayami,1693441501.0,PGu2-QOfLBA,Youtube,0
I used to hoard items that I didn’t need until I stopped and I did that for 2 YEARS,Kreek,1689857964.0,QZYfVcw9gmU,Youtube,0
"I'm sorry, but what's this song?",Rainpop,1659967626.0,_dLWisnAySY,Youtube,0
Me with both ADHD and OCD😭,Rain,1671164548.0,GqgRCPs1bdo,Youtube,0
The furry pic is wild,@Tate0001,1681109016.0,2uE8YsXdloA,Youtube,-1
Beautiful hair ❤,Bug,1695754923.0,89Cl_G6OEFg,Youtube,0
Funny!,Jamie Turner,1693183535.0,WMlYOjBMoMQ,Youtube,0
All he needed is god😂,@leoleo-kp9lf,1681529889.0,2uE8YsXdloA,Youtube,-1
I have ordered sometime but not that much that you said my mind kill me if is not be even number sometime like  when I want go at upstairs I count that I go in even number,Taha Titan,1697773317.0,_MS_j7Ecc6k,Youtube,0
@follow Jesus how did he,Ariana GrandeVids,1690973050.0,H6DQDcgH9-o,Youtube,-1
that is me all the way…………… EXCEPT FOR TIME-,Sophie Greatway,1678172824.0,GqgRCPs1bdo,Youtube,0
Who is she?,Steve Stavos,1698434872.0,RC1919tTab0,Youtube,0
"To all the people who are like, “Wow, this sounds exactly like me”: please don’t self diagnose. The reason why you do all these things is most likely because almost everyone does these things. If you have real concerns, talk to a doctor about it.",Colin Xie,1658622896.0,MXAUwEVIL7E,Youtube,0
"Me: telling my asian parents I am depressed 
Asian parents: there is no such thing stoopid 
Me:  It is a thing
Asian parents: ARE YOU TALKING BACK TOO ME
*summons the chancla *
Me:  I wasn' t please I am sorry  have mercy",Riya Mistry,1658562673.0,MXAUwEVIL7E,Youtube,0
"When I was younger, I’d pray the same prayer every night for about a year and a half. At first, it started as like the average “Dear god, please protect my family. Amen.” Then it grew to me forcing myself to recite the same words every night, in the same order. After months of that, it became me saying the prayer 5 times every night and having to count to 15 before I let my hands release. If I didn’t do that before 12 am, I wouldn’t be able to fall asleep, or I thought something bad would happen, like my family dying or my house would catch on fire. The tapping on the wall reminded me of that.",NicoleGalss,1670763736.0,GqgRCPs1bdo,Youtube,0
I had a massive presentation that was worth 75% of my grade. We had to speak and look at our peers. I cried and had an anxiety attack before it was my turn. When I went everyone smiled and cheered me on. it's okay to be sick before any big event. Just know that at least one person is cheering you on! 🤍,aestheticpanda🌻,1673210186.0,2n-GS8LUddU,Youtube,0
You are criticizing the only reason you are here young fella!!!,Deejay,1667017517.0,BcKuX6TV1To,Youtube,0
Believing in a God is also insane.,John Davis,1674219758.0,ih_t7x9LYLE,Youtube,0
GOD BLESS this young King real Man,@beresthethrid536,1678553821.0,jSYT7raFRiI,Youtube,0
I mean I only had 4 cups of caffeine today and it's about 9:00 am,@Alex_Alonzo,1666247719.0,e4-NNSFIZNs,Youtube,0
I have OCD 😶,Jeffrey Gray,1670468382.0,GqgRCPs1bdo,Youtube,0
But I relate to Moana and Rapunzel,Randi Martini,1692048914.0,QZYfVcw9gmU,Youtube,0
I will continue to pray for your mental health and for you to recovery from your illness. God loves you and you are not a mistake. Your beautiful and are loved. God bless you Paris,Rochelle Woody,1674523935.0,Tyq492QJOkw,Youtube,0
Ye i have both,@ossegredosdeluna1600,1693683814.0,jqffqAJRRLY,Youtube,0
I have adhd it’s not that bad to have adhd for me I have the calm side and I can’t focus,Isabella Smith,1670929178.0,GqgRCPs1bdo,Youtube,0
i love this idea and i’m so happy that it works for you!! :),Quentin,1679660819.0,6RaXv-m8K9U,Youtube,0
She has ASD which is a Nero developmental condition. Her brain is so different but she just can’t speak. I also have ASD so im going off memory but if that’s unclear you can look it up too. Hope this helps,Faythe Ashton,1669615539.0,YqLwvkMPaYw,Youtube,0
I actually have ocd i did not know what it was called so now i guess more people have it cause i used to think i was a freak now i am glad that i am not the only one and i am 9yrs old so yea✨️❤❤💜💜💜,Madhura Raj,1671533654.0,GqgRCPs1bdo,Youtube,0
Beautiful little sweetie  ma shaa Allah,Ley_la 955,1665277733.0,-gCSzvsCWCU,Youtube,0
You're not alone.,Sharon Cook,1692040405.0,Tyq492QJOkw,Youtube,0
As someone with OCD this was amazing🥲,Swiftie13,1691001808.0,GqgRCPs1bdo,Youtube,0
"The keys to happiness are: something to do, something to love, and something to look forward to. A person who is apathetic has none of them.

That’s why it’s a awful, and debilitating state to be in.",TheThis TheThat,1661716939.0,62lcuqA1S6Q,Youtube,0
I know how it feels dear❤ Cheer up❤❤❤❤❤❤,Gin Tonic,1695393511.0,Tyq492QJOkw,Youtube,0
I understand we Gen Z are the problem but so are the parents tbh I mean wtf thank God I got Asian parents,Fazy Baby,1678013348.0,BcKuX6TV1To,Youtube,0
"Oliver Suever good to know, thanks!",MSEGirl,1674033398.0,Tyq492QJOkw,Youtube,0
If my teacher watched this,Angela,1687620484.0,2n-GS8LUddU,Youtube,0
@eric debord Closet gay,Primitive,1667062150.0,BcKuX6TV1To,Youtube,0
So accurate!,Conbon,1687570880.0,4e9-6N3ffFA,Youtube,0
What I want to give her a big hug . She is so beautiful and has beautiful hair. 🥰,M Fling,1672789113.0,-gCSzvsCWCU,Youtube,0
depression is curable. I so testify. It takes work and is VERY worth all that effort.,Karen Schroeder,1696663563.0,iiHAnwJo69g,Youtube,0
@The life of Redpandaexactly,Slippery,1672370224.0,-gCSzvsCWCU,Youtube,0
As someone who has ocd and adhd i can confirm this is true,Legobuilder430_Robloxchannel,1684890523.0,GqgRCPs1bdo,Youtube,0
"""Next One"" ☠️",Pierug AKA jabucho,1691767336.0,QZYfVcw9gmU,Youtube,0
Hold up. Hold up. This has changed my whole life.,I W,1673328449.0,6RaXv-m8K9U,Youtube,0
OK you need to understand that OCD isn’t just everything has to be even like the thought that would be going through your head if you actually had OCD wouldn’t be oh it’s not even number it would be oh I have to go back to sleep until it’s an even number or my mom is gonna die you know like,This...””guy,1685238740.0,GqgRCPs1bdo,Youtube,0
My nephew has autism he’s 8 years old. He could not for the life of him pay attention in school although he has excellent recall and memory. He’s been using the patches for 6 months now and his grades have gotten better in school. He’s gone from being an average student to above average.,Shaer Love,1666901160.0,-gCSzvsCWCU,Youtube,0
